transaction_id,amount,customer_age_days,order_count_past_30d,refund_count_past_90d,device_change_flag,shipping_billing_mismatch,payment_method,hour_of_day,is_chargeback
txn_100001,856.49,19,5,2,0,0,credit_card,8,0
txn_100002,4091.61,163,2,0,0,1,upi,17,0
txn_100003,1014.26,12,1,0,0,0,upi,15,0
txn_100004,5080.72,159,7,1,1,0,upi,23,0
txn_100005,868.16,101,0,0,0,0,upi,17,0
txn_100006,643.74,152,1,0,0,0,upi,7,0
txn_100007,1934.69,107,0,0,0,0,upi,9,0
txn_100008,2610.4,154,3,0,0,0,credit_card,6,0
txn_100009,1178.11,297,1,0,0,0,credit_card,18,0
txn_100010,1711.23,70,2,1,0,0,wallet,18,0
txn_100011,565.71,10,2,0,0,0,net_banking,21,0
txn_100012,2496.83,36,1,0,1,0,credit_card,18,0
txn_100013,1493.1,7,2,0,0,0,credit_card,17,0
txn_100014,883.73,123,0,0,0,0,credit_card,18,0
txn_100015,394.64,0,2,0,0,0,debit_card,19,0
txn_100016,1958.93,1,4,0,1,0,upi,7,0
txn_100017,479.68,35,0,0,0,0,net_banking,8,0
txn_100018,2233.5,33,0,0,1,0,credit_card,13,0
txn_100019,133.97,433,6,0,0,0,debit_card,18,0
txn_100020,1749.42,638,5,0,0,0,debit_card,7,0
txn_100021,105.23,27,3,0,0,0,debit_card,15,0
txn_100022,906.27,11,2,0,0,0,net_banking,1,0
txn_100023,1506.58,33,0,0,0,1,credit_card,11,0
txn_100024,1532.31,79,3,1,0,0,net_banking,18,0
txn_100025,616.29,57,7,1,0,0,credit_card,13,0
txn_100026,525.25,12,4,1,1,0,net_banking,15,0
txn_100027,583.16,43,9,0,0,0,credit_card,19,0
txn_100028,2577.0,189,6,0,1,0,credit_card,21,0
txn_100029,380.56,384,2,0,0,0,upi,13,0
txn_100030,892.35,519,2,0,0,0,credit_card,20,0
txn_100031,1655.07,6,2,0,0,0,upi,17,0
txn_100032,1963.37,142,4,0,0,0,upi,20,0
txn_100033,1035.12,157,4,0,0,0,upi,22,0
txn_100034,2603.11,75,0,0,0,0,credit_card,19,0
txn_100035,2813.26,7,4,0,0,0,credit_card,13,0
txn_100036,2322.28,416,6,2,1,0,upi,14,0
txn_100037,25587.43,809,8,1,0,0,net_banking,14,0
txn_100038,15176.85,122,1,0,0,0,upi,11,0
txn_100039,559.02,30,0,0,0,0,credit_card,14,0
txn_100040,1674.79,103,11,0,0,0,debit_card,18,0
txn_100041,621.49,59,0,0,0,0,debit_card,9,0
txn_100042,2359.21,9,1,0,0,0,credit_card,13,0
txn_100043,631.09,272,7,0,0,0,credit_card,21,0
txn_100044,118.28,10,2,0,0,0,credit_card,18,0
txn_100045,2237.02,9,3,0,0,0,net_banking,13,0
txn_100046,2949.91,9,1,0,0,0,credit_card,22,0
txn_100047,893.82,115,1,0,1,0,upi,19,0
txn_100048,3585.32,253,6,0,0,0,debit_card,12,0
txn_100049,987.9,73,3,1,1,0,credit_card,10,0
txn_100050,2057.4,397,0,0,0,1,upi,14,0
txn_100051,1250.83,201,0,0,0,0,credit_card,16,0
txn_100052,2362.35,114,4,0,0,0,credit_card,18,0
txn_100053,2228.74,53,3,0,0,0,credit_card,12,0
txn_100054,3168.73,39,0,0,1,0,debit_card,12,0
txn_100055,1299.68,371,4,0,0,0,wallet,9,0
txn_100056,551.64,296,2,0,0,0,debit_card,7,0
txn_100057,756.09,12,1,0,0,0,debit_card,17,0
txn_100058,3927.78,4,4,0,0,0,upi,17,0
txn_100059,16135.65,156,7,0,0,0,upi,21,0
txn_100060,1089.16,80,3,0,1,0,credit_card,11,0
txn_100061,14174.65,340,30,12,0,0,credit_card,15,1
txn_100062,786.1,1057,13,0,0,0,net_banking,12,0
txn_100063,3928.82,537,2,0,1,0,net_banking,19,1
txn_100064,320.76,126,3,0,0,0,debit_card,21,0
txn_100065,830.26,38,3,0,0,0,credit_card,21,0
txn_100066,2646.37,14,3,0,0,0,debit_card,13,0
txn_100067,2911.94,395,6,0,0,0,credit_card,18,0
txn_100068,3710.69,209,2,0,0,0,credit_card,10,0
txn_100069,4825.8,62,6,0,0,0,credit_card,22,0
txn_100070,511.33,87,2,0,0,0,credit_card,12,0
txn_100071,17345.89,385,23,9,0,0,upi,8,1
txn_100072,1004.97,20,1,0,0,0,upi,10,0
txn_100073,481.75,189,1,0,0,0,credit_card,15,0
txn_100074,2300.72,805,1,0,1,0,credit_card,11,0
txn_100075,1875.68,13,1,0,0,0,upi,11,0
txn_100076,2390.47,3,2,0,0,1,upi,5,0
txn_100077,382.7,14,2,0,0,0,debit_card,21,0
txn_100078,1158.83,328,5,0,0,1,upi,10,0
txn_100079,4473.22,106,0,0,0,0,credit_card,13,0
txn_100080,1882.48,101,4,1,0,0,net_banking,10,0
txn_100081,799.38,447,0,0,0,0,debit_card,8,0
txn_100082,2590.92,7,2,0,0,0,net_banking,11,0
txn_100083,29687.06,7,3,0,0,0,upi,14,0
txn_100084,851.53,178,3,0,0,0,upi,11,0
txn_100085,2248.05,178,8,1,0,0,credit_card,10,0
txn_100086,2763.34,149,6,0,0,0,upi,18,0
txn_100087,1683.16,79,26,1,1,0,debit_card,20,0
txn_100088,519.72,2,3,0,0,0,upi,8,0
txn_100089,5928.79,204,0,0,0,0,credit_card,14,0
txn_100090,908.25,6,2,0,1,0,credit_card,8,0
txn_100091,1816.21,161,1,0,0,0,debit_card,21,0
txn_100092,386.65,82,0,0,0,0,credit_card,16,0
txn_100093,1043.89,61,5,0,0,1,net_banking,19,0
txn_100094,1011.32,11,2,0,1,0,wallet,8,0
txn_100095,621.15,123,1,0,0,0,upi,6,0
txn_100096,1776.16,114,0,0,0,0,credit_card,17,0
txn_100097,2377.97,81,0,0,0,0,credit_card,15,0
txn_100098,922.01,213,5,1,0,0,debit_card,16,0
txn_100099,447.82,37,6,0,0,0,debit_card,8,0
txn_100100,191.29,29,0,0,0,0,credit_card,19,0
txn_100101,849.06,201,0,0,0,1,wallet,17,0
txn_100102,14342.96,170,4,0,0,0,debit_card,14,0
txn_100103,1046.37,176,2,0,0,1,net_banking,20,0
txn_100104,2003.87,126,9,0,0,0,upi,15,0
txn_100105,218.41,314,0,0,0,0,debit_card,16,0
txn_100106,5012.68,103,0,0,0,0,credit_card,16,0
txn_100107,571.42,358,4,0,0,0,credit_card,19,0
txn_100108,4323.83,332,2,0,0,1,credit_card,21,0
txn_100109,302.45,53,2,0,0,1,credit_card,18,0
txn_100110,2372.77,46,2,0,0,0,upi,18,0
txn_100111,287.96,3,4,0,0,0,debit_card,11,0
txn_100112,636.25,625,4,0,1,0,net_banking,11,0
txn_100113,508.81,439,11,0,0,0,debit_card,13,0
txn_100114,717.49,30,0,0,0,0,credit_card,6,0
txn_100115,2843.47,335,3,1,0,0,net_banking,16,0
txn_100116,622.25,63,4,0,1,0,debit_card,2,0
txn_100117,788.95,2,2,0,0,0,wallet,15,0
txn_100118,1013.65,18,5,0,0,0,upi,18,0
txn_100119,1960.49,23,0,0,0,0,upi,17,0
txn_100120,147.58,12,1,0,0,0,debit_card,11,0
txn_100121,1864.66,5,3,0,0,0,credit_card,22,0
txn_100122,1555.68,479,5,0,0,0,credit_card,8,0
txn_100123,2004.74,121,2,1,0,0,wallet,11,0
txn_100124,1869.58,29,6,2,1,0,upi,14,0
txn_100125,958.7,10,1,0,0,0,debit_card,8,0
txn_100126,1838.86,82,0,0,0,0,credit_card,16,0
txn_100127,229.69,55,23,9,0,0,upi,15,0
txn_100128,3941.54,45,0,0,0,0,wallet,19,0
txn_100129,1651.65,95,16,0,1,0,wallet,18,0
txn_100130,1997.31,327,4,0,0,0,debit_card,18,0
txn_100131,3872.9,379,1,0,0,0,net_banking,20,0
txn_100132,1465.17,196,1,0,0,0,debit_card,10,0
txn_100133,845.2,89,3,0,0,0,credit_card,22,0
txn_100134,955.87,222,0,0,0,0,credit_card,16,0
txn_100135,541.49,253,3,0,0,0,credit_card,7,0
txn_100136,2041.45,112,0,0,0,0,net_banking,15,0
txn_100137,512.47,124,0,0,0,0,upi,17,0
txn_100138,540.62,1,3,0,0,0,credit_card,16,0
txn_100139,1837.36,275,14,0,0,0,credit_card,9,0
txn_100140,3555.97,22,0,0,0,0,net_banking,12,0
txn_100141,1796.71,347,2,0,0,0,credit_card,17,0
txn_100142,4085.52,301,0,0,0,0,upi,19,0
txn_100143,339.91,172,3,0,0,1,net_banking,8,1
txn_100144,2205.79,44,5,0,0,1,credit_card,10,0
txn_100145,945.97,149,9,0,0,0,upi,19,0
txn_100146,823.53,582,11,0,0,0,debit_card,14,0
txn_100147,621.3,245,3,0,0,0,credit_card,11,0
txn_100148,650.74,120,0,0,0,0,upi,9,0
txn_100149,2342.92,64,4,0,0,0,upi,9,0
txn_100150,9680.42,45,2,0,0,0,upi,21,0
txn_100151,2902.75,152,8,0,1,0,upi,10,0
txn_100152,484.03,76,3,0,0,0,debit_card,21,0
txn_100153,655.83,53,2,0,1,0,credit_card,17,0
txn_100154,1037.97,198,1,0,0,0,credit_card,11,0
txn_100155,783.17,12,1,0,0,1,credit_card,12,0
